農業用水供給への影響	原因	降水形態の変化
農業用水供給への影響	原因	融雪-早期化
農業用水供給への影響	原因	融雪流出量-減少
農業用水必要量・必要時期の変化	原因	営農規模-拡大
農業用水必要量・必要時期の変化	原因	栽培品種-変更
農業用水必要量・必要時期の変化	原因	栽培方法-変更
用水量-増加	原因	水稲-高温障害対策
水需要時期-変化	原因	水稲-高温障害対策
融雪流出-利用可能量減少	予測影響	融雪時期-早期化
洪水リスク-増加	予測影響	梅雨時期
洪水リスク-増加	予測影響	台風時期
北日本-利用可能水量減少	予測影響	代かき期
水利用計画の推進	対策法	用水需要変化（時期・量）の考慮
水源の有効活用	対策法	既存施設間の連携
水源の有効活用	対策法	既存施設-統合
用水量-節減	対策法	ICT導入
用水量-節減	対策法	地下かんがい-導入
取水時期・期間・用水需要量の変化	原因	農業構造-変化
取水時期・期間・用水需要量の変化	原因	農業生産-変化
需要期の供給不足可能性	予測影響	融雪時期-早期化
農業用ダム役割重要性-増大	予測影響	需要期の供給不足可能性
用水供給量の最小化	対策法	ほ場配水・用水管理システム活用
用水不足影響の回避・軽減	対策法	ほ場配水・用水管理システム活用
地下かんがいシステム	影響	湿害回避
地下かんがいシステム	影響	干ばつ害回避
地下かんがいシステム	影響	作物栽培-安定化
降水形態の変化	内容	大雨
降水形態の変化	内容	無降雨
降水形態の変化	内容	少雨
水稲-高温障害対策	具体例	深水管理
水稲-高温障害対策	具体例	作付変更
融雪時期-早期化	予測	将来
梅雨時期	関連	洪水リスク-増加
台風時期	関連	洪水リスク-増加
ICT導入	適用先	ほ場配水・用水管理システム
地下かんがい-導入	対象	地下かんがいシステム
湿害回避	結果	作物栽培-安定化
干ばつ害回避	結果	作物栽培-安定化
深水管理	位置付け	水稲-高温障害対策
作付変更	位置付け	水稲-高温障害対策
