害虫-発生増加	原因	気温-上昇
病原体-侵害力増加	原因	気温-上昇
シイタケ-子実体発生量減少	原因	夏季-気温上昇
Hypocrea lactea等-被害発生地域拡大	原因	病原体-Hypocrea lactea等
シイタケ原木栽培-生産量低下懸念	原因	シイタケ-子実体発生量減少
シイタケ原木栽培-生産量低下懸念	原因	病害菌-発生
病虫害-被害拡大	対策法	病虫害-初期段階対策
高温-影響	対策法	栽培方法-工夫
気温-更なる上昇	対策法	耐病性品種-開発
気温-更なる上昇	対策法	高温発生品種-開発
仮伏せ-内部温度25℃超過	対策法	仮伏せ-温度管理
伏せ込み-方法改善	対策法	伏せ込み-方法改善
直射日光-ほだ場入射	対策法	寒冷紗-遮光
病虫害-被害拡大	対策法	病虫害-早期発見
病虫害-被害拡大	対策法	感染ほだ木-除去
感染ほだ木-抜き取り困難	対策法	農薬-利用
品種-移行	対策法	低温発生品種-中温発生品種移行
品種-移行	対策法	低温発生品種-高温発生品種移行
病害-発生	対策法	耐病性品種-開発
高温条件-子実体発生不利	対策法	高温発生品種-開発
仮伏せ-急激な温度上昇	原因	ビニールシート-利用
シイタケ菌-抵抗力低下	原因	高温環境
仮伏せ-温度管理	対策法	最高温度計-温度計測
仮伏せ-終了	対策法	内部温度25℃超過
害菌-大発生	対策法	感染ほだ木-栽培現場除去
害菌-大発生	対策法	感染子実体-栽培現場除去
害菌-新たな感染源化	対策法	感染個体-除去
感染ほだ木-除去実施	対策法	被害ほだ木-数本程度段階
被害-一時的抑制	対策法	農薬-使用
害菌-抑制	対策法	ベンレート水和剤-利用
ヒポクレア属菌-防除	対策法	食酢-利用
寒冷紗-利用	影響	最高気温-抑制
寒冷紗-利用	影響	ほだ木材内最高到達温度-抑制
寒冷紗-利用	予測影響	害菌-発生抑制
寒冷紗-利用	予測影響	害虫-活動長期化抑制
栽培品種-高温発生品種移行必要性	原因	気温-上昇
害虫-ムラサキアツバ羽化回数増加	予測影響	気候シナリオデータ-MIROC-H_A1B
気温-上昇	影響	害虫-発生増加
気温-上昇	影響	病原体-侵害力増加
夏季-気温上昇	影響	シイタケ-子実体発生量減少
シイタケ-子実体発生量減少	影響	シイタケ原木栽培-生産量低下懸念
病害菌-発生	影響	シイタケ原木栽培-生産量低下懸念
病虫害-初期段階対策	目的	病虫害-被害拡大防止
栽培方法-工夫	目的	高温-影響回避
耐病性品種-開発	目的	気温-更なる上昇備え
高温発生品種-開発	目的	気温-更なる上昇備え
仮伏せ-温度管理	上限	内部温度25℃
寒冷紗-遮光	適用場所	直射日光-ほだ場入射
農薬-利用	適用条件	感染ほだ木-抜き取り困難
最高温度計-温度計測	目的	仮伏せ-温度管理
ベンレート水和剤-利用	対象	害菌-H.lactea等
食酢-利用	対象	ヒポクレア属菌
気候シナリオデータ-MIROC-H_A1B	用途	害虫-ムラサキアツバ羽化回数予測
病虫害-被害拡大防止	重要性	病虫害-初期段階対策
高温-影響回避	手段	栽培方法-工夫
気温-更なる上昇備え	手段	耐病性品種-開発
気温-更なる上昇備え	手段	高温発生品種-開発
内部温度25℃	管理基準	仮伏せ-温度管理
害虫-ムラサキアツバ羽化回数予測	根拠	気候シナリオデータ-MIROC-H_A1B
