湖沼-水質変化	原因	水温上昇
湖沼-生物変化	原因	水温上昇
湖沼とその流域-水質影響	原因	高い気温
湖沼とその流域-水質影響	原因	降雨の偏在化
湖沼とその流域-生息環境影響	原因	高い気温
湖沼とその流域-生息環境影響	原因	降雨の偏在化
湖沼-水温上昇	影響	湖沼-貧酸素化
湖沼-水温上昇	影響	淡水生物-多様性減少
高水温進行	影響	水生生物-酸素消費量増加
高水温進行	影響	大気-酸素溶け込み減少
高水温進行	影響	湖底-酸素到達低下
高水温進行	影響	湖沼-貧酸素問題発生
将来の水温上昇	予測影響	水質-溶存酸素量低下
将来の水温上昇	予測影響	底層-低酸素化
将来の水温上昇	予測影響	湖沼-富栄養化
将来の水温上昇	予測影響	冷水性魚類-適温逸脱
湖沼-貧酸素化	対策法	インプット制御
湖沼-溶存酸素量低下	対策法	濁り成分流入低減
湖沼-外部負荷増大	対策法	外部負荷低減
湖沼-水質悪化	対策法	湿地-増加保全
湖沼-貧酸素化	対策法	湖内対策
地下水-湧水量減少	原因	都市化
雨水-土壌浸透低下	原因	都市化
地下水-湧水量減少	対策法	地下水への浸透性の向上
流域-生息環境劣化	対策法	多様な生息場所の保全
気候変動影響把握	対策法	環境モニタリング
適応策検討	対策法	環境悪化の要因解析
適応策効果検証	対策法	モデル開発・検証
水温上昇	影響	溶存酸素量低下
水温上昇	影響	呼吸量増加
溶存酸素量低下	影響	貧酸素化
貧酸素化	影響	底層水生生物-生息環境悪化
適温逸脱	影響	冷水性魚種-生息影響
インプット制御	内容	栄養塩流入削減
インプット制御	内容	有機物流入削減
栄養塩流入削減	影響	湖底近く-酸素消費速度抑制
湖底近く-酸素消費速度抑制	影響	貧酸素化-進行速度低下
濁り成分流入低減	影響	湖底-光合成活性向上
湖底-光合成活性向上	影響	溶存酸素量増加
