シロザケ-分布域変化	原因	海水温上昇
シロザケ-分布域変化	原因	海水温上昇パターン変化
回帰率低下	原因	海洋生活初期の高水温
サケ-分布面積縮小	予測影響	夏季〜秋季
サケ-分布面積拡大	予測影響	冬季〜春季
温暖化-負の影響顕著化	予測影響	2050年以降
回帰ルート変化	予測影響	温暖化
放流適水温範囲消失	予測影響	地域差
放流適水温範囲長期化	予測影響	北海道
回帰率低下	対策法	放流時期最適化
収穫量減少	対策法	放流時期最適化
回帰率低下	対策法	野生魚保全
収穫量減少	対策法	野生魚保全
回帰ルート変化	対策法	対策検討
稚魚-飼料改善	対策法	種苗飼育管理改善
稚魚-放流方法改善	対策法	放流方法改善
野生魚割合増加	対策法	降河稚魚数増加
親魚量確保	対策法	資源管理
河川環境整備	対策法	河川環境等の整備
野生魚-資源維持	対策法	野生魚-個体群維持
将来-水産対策検討	対策法	養殖検討
将来-水産対策検討	対策法	代替種検討
種卵確保	対策法	親魚-成熟個体利用
稚魚-飼料改善	対策法	飼料改善
種苗-健康性向上	対策法	飼料改善
放流方法改善	対策法	地域環境適合対応
放流時期見直し	対策法	放流の早期化
放流サイズ見直し	対策法	放流の早期化
稚魚-生産時期前倒し	対策法	河川水温上昇
稚魚-放流時期前倒し	対策法	河川水温上昇
秋季-高水温化	対策法	産卵回遊時期遅い群比率増加
温暖化-水温変動激化	対策法	一極集中でない放流体制整備
環境変化適応力不足	対策法	野生魚保全
水産資源利用拡大	対策法	野生魚増加
野生魚-漁獲率低下	対策法	稚魚-海中放流
親魚捕獲抑制	対策法	非捕獲河川設定
親魚捕獲抑制	対策法	河川捕獲上限制限
産卵環境改善	対策法	河川環境整備
河川-魚道整備	対策法	魚道設置管理
自然産卵環境維持改善	対策法	自然産卵環境維持改善
河川-多自然化	対策法	多自然護岸
河川-水質改善	対策法	河川浄化
流域-森林管理	対策法	森林管理
野生魚-資源維持	対策法	自然選択維持
養殖検討	対策法	さけます類養殖
高温環境対応	対策法	サクラマス-飼育
高温環境対応	対策法	ギンザケ-飼育
高温環境対応	対策法	ニジマス-飼育
地域ブランド販売	対策法	当地方サーモン-ブランド化
海水温上昇	観測事実	日本近海-水温上昇
海洋生活初期の高水温	発生場所	海洋生活初期
夏季〜秋季	比較対象	現在
冬季〜春季	比較対象	現在
2050年以降	時期	温暖化影響
温暖化	状態	回帰ルート変化可能性
地域差	包含	北海道
放流時期最適化	実施目的	回帰率低下対応
放流時期最適化	実施目的	収穫量減少対応
野生魚保全	必要性根拠	野生魚-環境変化適応力
対策検討	対象	回遊ルート変化
種苗飼育管理改善	具体例	稚魚-飼料改善
放流方法改善	具体例	稚魚-放流サイズ改善
放流方法改善	具体例	稚魚-放流時期改善
降河稚魚数増加	目的	野生魚割合増加
資源管理	目的	親魚量確保
河川環境等の整備	目的	河川-産卵容易化
野生魚-個体群維持	目的	親魚ストック利用
養殖検討	例示	さけます類養殖
代替種検討	候補	サクラマス
代替種検討	候補	ギンザケ
代替種検討	候補	ニジマス
日本近海-水温上昇	期間	過去100年
回帰率低下対応	必要性	地域状況考慮
収穫量減少対応	必要性	地域状況考慮
野生魚-環境変化適応力	比較対象	放流魚
河川-産卵容易化	手段	河川環境整備
親魚ストック利用	対象	野生魚-資源維持
