(1) 文書整理（主題トピック：強風等（台風・竜巻））

### 原因
- 気候変動により強い台風が増加し、住宅や電柱、倒木の被害が増加する可能性がある。  
- 強い竜巻を発生させるスーパーセル（巨大な積乱雲で強風や竜巻等の激しい気象現象をもたらす）の発現頻度が高くなることで、被害が生じる可能性がある。  

### 影響
- 住宅被害（特に屋根被害）が増える。  
- 電柱被害、倒木被害が増える。  

### 影響予測
- RCP8.5シナリオを前提とした研究では、21世紀後半にかけて、熱帯低気圧全体に占める強い熱帯低気圧の割合が増加すると予測される。  
- 気候変動が台風の最強強度の空間位置の変化や進行方向の変化に影響を与えている可能性が示唆される。  
- ただし、地域ごとに傾向が異なることが予測される。  

### 対策法
- 事前の備えとして、注意情報等を収集する（台風の予報と実況、竜巻発生確度ナウキャスト）。  
- 発生時の対応として、身を守る行動をとる（台風と竜巻で避け方が異なる点に留意）。  
- 住宅の事前の備えとして、台風対策（耐風性強化（屋根））を行う（ガイドライン工法の採用、住宅リフォーム時の対応）。  
- 被害防止対策（窓）として、飛散防止フィルム、耐風性シャッター等を用いる。  
- 農業用施設の事前の備えとして、低コスト対候性ハウスの推進を行う。  
- 全体として、チェックリスト等を活用し、事前・発生時・発生後の対策を確認できるようにする。  
- 被害発生後の対応として、早急な被害把握と支援を行う。  

---

## (2) 述語（原因・影響・影響予測・対策法）でSPOを構築
（形式：S　P　O）

強風等　原因　気候変動  
強風等　原因　スーパーセル-発現頻度増加  

強風等　影響　住宅-被害増加  
強風等　影響　電柱-被害増加  
強風等　影響　倒木-被害増加  
強風等　影響　屋根-被害  

強風等　影響予測　強い熱帯低気圧-割合増加  
強風等　影響予測　台風-最強強度の空間位置変化  
強風等　影響予測　台風-進行方向変化  
強風等　影響予測　地域-傾向差  

強風等　対策法　注意情報等の収集  
強風等　対策法　台風の予報と実況  
強風等　対策法　竜巻発生確度ナウキャスト  
強風等　対策法　身を守る為の行動  
強風等　対策法　台風対策-耐風性強化（屋根）  
強風等　対策法　被害防止対策（窓）  
強風等　対策法　低コスト対候性ハウスの推進  
強風等　対策法　チェックリスト等の活用  
強風等　対策法　早急な被害把握と支援  

---

## (3) (2)の「目的語」を主語にしてSPOを構築（述語指定なし・名詞化）
気候変動　影響　強い台風-増加  

スーパーセル-発現頻度増加　増加対象　強風や竜巻等激しい気象現象  

住宅-被害増加　被害対象　住宅  
電柱-被害増加　被害対象　電柱  
倒木-被害増加　被害対象　倒木  
屋根-被害　被害対象　屋根  

強い熱帯低気圧-割合増加　前提シナリオ　RCP8.5シナリオ  
強い熱帯低気圧-割合増加　対象期間　21世紀後半  

台風-最強強度の空間位置変化　関係性　因果関係が具体的に確認されていない  
台風-進行方向変化　関係性　因果関係が具体的に確認されていない  

地域-傾向差　対象　強風・強い台風の増加等  

注意情報等の収集　対象情報　台風の予報と実況  
注意情報等の収集　対象情報　竜巻発生確度ナウキャスト  
台風の予報と実況　提供内容　予想進路  
台風の予報と実況　提供内容　強度  
竜巻発生確度ナウキャスト　表示単位　10km格子単位解析  
竜巻発生確度ナウキャスト　予測対象時間　1時間後  

身を守る為の行動　留意点　台風と竜巻で逃げ方が異なる  

台風対策-耐風性強化（屋根）　実施方法　ガイドライン工法の採用  
台風対策-耐風性強化（屋根）　実施方法　住宅リフォーム時の対応  

被害防止対策（窓）　対策手段　耐風性シャッター  
被害防止対策（窓）　対策手段　飛散防止フィルム  

低コスト対候性ハウスの推進　対象施設　園芸施設  
低コスト対候性ハウスの推進　目的　強風被害低減  

チェックリスト等の活用　目的　事前・発生時・発生後の対策確認  
チェックリスト等の活用　対象例　台風による強風への安全チェックリスト  
チェックリスト等の活用　対象例　学校災害対応マニュアル  

早急な被害把握と支援　実施主体　行政  
早急な被害把握と支援　目的　迅速な回復  

---

## (4) (3)の「目的語」を主語にしてSPOを構築（述語指定なし・名詞化）
強い台風-増加　結果　住宅や電柱や倒木の被害増加の可能性  

強風や竜巻等激しい気象現象　発生要因　スーパーセル  

住宅　被害部位　屋根  

RCP8.5シナリオ　対象　将来変化の研究  
21世紀後半　対象　強い熱帯低気圧の割合の将来変化  

強風・強い台風の増加等　予測　地域ごとに傾向が異なる  

予想進路　提供元　台風の予報  
強度　提供元　台風の予報  

10km格子単位解析　対象　竜巻発生確度ナウキャスト  
1時間後　対象　竜巻発生確度ナウキャスト  

ガイドライン工法の採用　対象　被災時・新築時  
住宅リフォーム時の対応　対象　既存住宅  

耐風性シャッター　対象　窓  
飛散防止フィルム　貼付対象　窓ガラス  

園芸施設　対策　低コスト対候性ハウスの導入  

台風による強風への安全チェックリスト　活用　各ステージの対策確認  
学校災害対応マニュアル　活用　事前対応方法の確認  

行政　提供　必要な支援  
迅速な回復　必要条件　被害の早期把握  

---

必要なら、(2)〜(4)のSPOを「重複排除」「表記ゆれ統一（例：台風の予報と実況／台風の予報）」した版も作成します。
