飼料摂取量-低下	原因	家畜・家禽-体温上昇
家畜-増体低下	影響	気候変動の影響
家畜-品質低下	影響	気候変動の影響
繁殖成績-低下	影響	気候変動の影響
肉用家畜-産肉量低下	影響	気候変動の影響
肉用家畜-飼育期間延長	影響	気候変動の影響
肉用豚-増体量負影響拡大	予測影響	年代経過
肉用鶏-増体量負影響拡大	予測影響	年代経過
畜産-暑熱影響軽減	対策法	畜種特性に応じた暑熱・温度対策-実施
畜産-暑熱影響軽減	対策法	畜舎管理-実施
畜産-暑熱影響軽減	対策法	飼養管理-実施
畜舎内気温-上昇	対策法	散霧-実施
家畜-体温上昇	対策法	送風-実施
畜舎内気温-上昇	対策法	屋根-散水
畜舎内気温-上昇	対策法	日除け-実施
畜舎内気温-上昇	対策法	断熱材-設置
畜舎内気温-上昇	対策法	反射資材（石灰）-塗布
家畜-体感温度上昇	対策法	夏場の飼育密度-低下
飼料摂取量-低下	対策法	飼料-改善
飼料摂取量-低下	対策法	給水方法-工夫
飼料摂取量-低下	対策法	給餌方法-改善
熱射病	対策法	飲水への重曹0.5%添加-投与
卵殻質-悪化	対策法	飼料への重曹添加-実施
摂取量-低下	対策法	夜間給餌-実施
畜舎内気温-上昇	対策法	ダクトファン24時間稼働-実施
家畜・家禽-体温上昇	原因	気温-上昇
気候変動の影響	影響	家畜-増体低下
気候変動の影響	影響	家畜-品質低下
気候変動の影響	影響	繁殖成績-低下
気候変動の影響	影響	肉用家畜-産肉量低下
気候変動の影響	影響	肉用家畜-飼育期間延長
年代経過	影響	肉用豚-増体量負影響拡大
年代経過	影響	肉用鶏-増体量負影響拡大
畜種特性に応じた暑熱・温度対策-実施	対象	畜種（鶏、豚、牛）
畜舎管理-実施	内容	畜舎内温度-低下
畜舎管理-実施	内容	舎外熱侵入-防止
飼養管理-実施	内容	栄養状態-維持
散霧-実施	対象	細霧装置
送風-実施	手段	換気扇・扇風機
日除け-実施	手段	緑のカーテン（ニガウリ等）-利用
日除け-実施	手段	寒冷紗-利用
日除け-実施	手段	よしず-利用
断熱材-設置	設置箇所	屋根裏
断熱材-設置	設置箇所	壁
断熱材-設置	設置箇所	床
反射資材（石灰）-塗布	塗布箇所	屋根
夏場の飼育密度-低下	目的	家畜-体感温度低下
飼料-改善	理由	飼料摂取量-低下懸念
飲水への重曹0.5%添加-投与	目的	肉用鶏-熱射病防止効果
飼料への重曹添加-実施	効果	卵殻質悪化-抑制
夜間給餌-実施	目的	摂取量低下-抑制
ダクトファン24時間稼働-実施	効果	畜舎内気温上昇-緩和
気温-上昇	影響	家畜・家禽-体温上昇
畜舎内温度-低下	目的	暑熱影響-軽減
舎外熱侵入-防止	目的	暑熱影響-軽減
栄養状態-維持	目的	暑熱影響-軽減
畜種（鶏、豚、牛）	特性	豚・牛-高温影響受けやすさ
細霧装置	用途	散霧-実施
換気扇・扇風機	用途	送風-実施
屋根裏	設置対象	断熱材-設置
壁	設置対象	断熱材-設置
床	設置対象	断熱材-設置
屋根	塗布対象	反射資材（石灰）-塗布
