海水温上昇影響-表面化	原因	気候変動
マダイ-生理状態変化	原因	高水温
季節性魚病-長期化	原因	高水温
季節性魚病-発生リスク増加	原因	高水温
マダイイリドウイルス病-被害発生	原因	夏季-高水温期
稚魚-成長速度上昇	原因	水温上昇
飼料転換効率-低下	原因	高水温
成長速度-負の影響	原因	29℃以上-高水温
飼育コスト-負の影響	原因	29℃以上-高水温
魚病-発生長期化	原因	高水温化
魚病-発生リスク増加	原因	高水温化
気候変動影響-拡大	予測影響	マダイ養殖影響-拡大
水温上昇	予測影響	国内未発症感染症-発生
高水温期	対策法	飼料脂肪含量-増加
高水温期	対策法	給餌量-減少
代謝	対策法	抑制
水温低下後	対策法	通常給餌-復帰
養殖管理	対策法	海洋環境情報-発信共有
赤潮発生	対策法	緊急メール通知システム
魚病	対策法	ワクチン注射-予防
マダイイリドウイルス病	対策法	ワクチン等予防手段-継続
魚病	対策法	魚病病原体-高感度早期検出
魚病	対策法	魚病流行予測システム-提供
高水温化	対策法	高温耐性系統-育種
養殖品種	対策法	ゲノム編集-品種改良加速
気候変動	誘因	海水温上昇
高水温	影響	体重減少率-上昇
高水温	影響	体脂質割合-低下
高水温	影響	飼料転換効率-低下
高水温化	影響	魚病発生-長期化
高水温化	影響	魚病発生-リスク増加
夏季-高水温期	関連	マダイイリドウイルス病-被害発生
29℃以上-高水温	影響	成長速度-負の影響
29℃以上-高水温	影響	飼育コスト-負の影響
飼料脂肪含量-増加	目的	高水温期-備え
給餌量-減少	目的	代謝-抑制
通常給餌-復帰	結果	成長量-回復
海洋環境情報-発信共有	効果	養殖管理-活用
緊急メール通知システム	効果	赤潮対策-迅速化
魚病病原体-高感度早期検出	目的	魚病-早期予防対策
魚病流行予測システム-提供	効果	被害-最小化
ゲノム編集-品種改良加速	効果	新品種開発-加速
高温耐性系統-育種	位置づけ	高温化対策
海水温上昇	影響	海域水温-上昇
体重減少率-上昇	原因	高水温
体脂質割合-低下	原因	高水温
高水温期-備え	手段	飼料脂肪含量-増加
代謝-抑制	手段	給餌量-減少
成長量-回復	条件	通常給餌-復帰
養殖管理-活用	手段	海洋環境情報-発信共有
赤潮対策-迅速化	原因	緊急メール通知システム
魚病-早期予防対策	手段	魚病病原体-高感度早期検出
被害-最小化	原因	魚病流行予測システム-提供
新品種開発-加速	原因	ゲノム編集-品種改良加速
高温化対策	手段	高温耐性系統-育種
