ブドウ-発育への影響	原因	平均気温上昇
ブドウ-障害発生	原因	極端高温
ブドウ-着色不良	原因	成熟期高温
ブドウ-着色不良	影響	既存ブドウ産地
ブドウ-着色遅延	影響	既存ブドウ産地
ブドウ-日焼け果	影響	既存ブドウ産地
生食用黒色品種-着色不良発生地域拡大	予測影響	地球温暖化進行
着色不良発生地域-減少	予測影響	適応策導入
醸造用ブドウ-栽培適地拡大	予測影響	北海道
ブドウ産地-維持向上	対策法	栽培技術による対応
ブドウ産地-維持向上	対策法	新品種への改植
地域-産地化	対策法	生産から販売まで一貫した支援
ブドウ産業-発展	予測影響	適応策推進
ブドウ-着色不良	対策法	光反射シート敷設
ブドウ-着色不良	対策法	環状剥皮
ブドウ-着色不良	対策法	促成栽培
ブドウ-着色期の酷暑期重複	対策法	施設栽培
ブドウ-果房の日焼け	対策法	傘かけ
ブドウ-着色	対策法	環状剥皮
ブドウ-着色不良	対策法	黄緑系品種導入
醸造用ぶどう栽培-支援	対策法	醸造用ぶどう導入の手引作成
新規就農者-高度技術習得	対策法	学習システム提供
ワイン-高付加価値化	対策法	加工品開発
着色不良発生地域拡大	条件	生食用黒色品種
地球温暖化進行	対象	生食用黒色品種における予測
適応策導入	影響	着色不良発生地域-減少
平均気温上昇	影響	ブドウ-発育への影響
極端高温	影響	ブドウ-障害発生
成熟期高温	影響	ブドウ-着色不良
環状剥皮	効果	地上部の同化産物蓄積
地上部の同化産物蓄積	影響	ブドウ-着色促進
光反射シート敷設	効果	日射量増加
施設栽培	影響	開花日の早期化
施設栽培	影響	着色期の前倒し
傘かけ	対象	直射日光が当たる果房
傘かけ	効果	果房の日焼け防止
醸造用ぶどう導入の手引作成	対象地域	北海道
学習システム提供	対象	新規就農者
加工品開発	実施地域	岩手県
地上部の同化産物蓄積	原因	環状剥皮
ブドウ-着色促進	原因	地上部の同化産物蓄積
日射量増加	原因	光反射シート敷設
開花日の早期化	原因	施設栽培
着色期の前倒し	原因	施設栽培
直射日光が当たる果房	対策法	傘かけ
果房の日焼け防止	原因	傘かけ
北海道	特徴	醸造用ぶどうの栽培適地が拡大すると予測されている地域
新規就農者	学習対象	熟練農業者の経験や勘に基づく高度な技術
岩手県	取組	地域に適した醸造用・加工用品種の導入
