マツ材線虫病-被害域拡大	原因	マツ材線虫病-西日本侵入
マツノマダラカミキリ-成虫化可能地域増加	原因	気温上昇
マツ材線虫病-被害危険度上昇	影響	東北地方
マツ材線虫病-被害危険度上昇	影響	高標高域
マツ材線虫病-被害危険度上昇	影響	北海道
北海道-マツ材線虫病被害危険度上昇	予測影響	気温約3度上昇
松林-保全	対策法	保全すべき松林-感染予防重点化
保全対象外松林-管理	対策法	樹種転換
保全すべき松林-周辺対策強化	原因	マツ材線虫病-年間数km拡大
伐採後-森林機能維持	対策法	植栽による成林促進
広葉樹林化-促進	対策法	母樹利用-天然更新
マツ材線虫病-感染予防	対策法	樹幹注入
マツ材線虫病-被害予防	対策法	薬剤散布
マツ材線虫病-拡散防止	対策法	感染木-伐倒駆除
マツ材線虫病-健全木被害防止	対策法	被害木-伐倒駆除
将来感染源-発生防止	対策法	予防伐採
森林機能-維持	対策法	樹種転換
保全すべき松林-被害抑制	対策法	抵抗性品種マツ苗木-植栽
樹幹注入	対象	健全なマツ
樹幹注入	非対象	感染木
樹幹注入	実施時期	マツノマダラカミキリ-羽化2-3ヶ月前
樹幹注入	効果持続	1-7年程度
薬剤散布	実施時期	5-7月頃
薬剤散布	目的	マツノマダラカミキリ成虫-駆除
薬剤散布	実施頻度	毎年
伐倒駆除	実施時期	秋-春
伐倒駆除	手段	くん蒸
伐倒駆除	手段	破砕
伐倒駆除	手段	木質バイオマス利用
予防伐採	目的	将来感染源-削減
樹種転換	手段	マツ以外樹種-植栽
樹種転換	手段	天然更新
気温上昇	影響	積算200日条件-達成地域北上
北海道	属性	マツ材線虫病被害危険度が高い地域
東北地方	属性	マツ材線虫病被害危険度が高い地域
高標高域	属性	マツ材線虫病被害危険度が高い地域
積算200日条件-達成地域北上	影響	北上・高標高域化
