りんご-影響発生	原因	気温上昇
果実-着色期間高温化	原因	気温上昇
りんご-着色不良	原因	果実-着色期間高温化
りんご-着色遅延	原因	果実-着色期間高温化
りんご-日焼け果発生	原因	果実-表面温度上昇
りんご-着色不良	影響	りんご-品質低下
りんご-着色遅延	影響	りんご-品質低下
りんご-日焼け果発生	影響	りんご-品質低下
主力産地-気温上昇（2060年代）	予測影響	暖地りんご産地-同等気温化
東北中部平野部-栽培困難化	予測影響	適応策未実施
りんご-日焼け果発生	対策法	遮光資材-樹上被覆
りんご-日焼け果発生	対策法	遮光資材-果実被覆
りんご-日焼け果発生	対策法	散水・細霧冷房
りんご-着色不良	対策法	光反射マルチシート-敷設
りんご-高温影響	対策法	高温耐性品種-改植
りんご-高温影響	対策法	樹種転換
気温上昇	影響	果実-着色期間高温化
果実-着色期間高温化	影響	りんご-影響発生
果実-着色期間高温化	影響	りんご-着色不良
果実-着色期間高温化	影響	りんご-着色遅延
果実-表面温度上昇	原因	強い直射日光
果実-表面温度上昇	影響	りんご-日焼け果発生
りんご-品質低下	原因	りんご-着色不良
りんご-品質低下	原因	りんご-着色遅延
りんご-品質低下	原因	りんご-日焼け果発生
暖地りんご産地-同等気温化	予測対象	2060年代
適応策未実施	影響	東北中部平野部-栽培困難化
遮光資材-樹上被覆	影響	果面温度-抑制
遮光資材-樹上被覆	影響	りんご-日焼け果発生軽減
遮光資材-果実被覆	影響	果実表面温度-極端上昇抑制
散水・細霧冷房	影響	果実表面温度-上昇抑制
散水・細霧冷房	影響	りんご-日焼け果発生減少
光反射マルチシート-敷設	影響	果実-着色改善
高温耐性品種-改植	実施方針	段階的実施
樹種転換	検討要素	周辺産業影響
樹種転換	検討要素	ブランド戦略
強い直射日光	影響	果実表面温度-極端上昇
果面温度-抑制	影響	りんご-日焼け果発生軽減
果実表面温度-極端上昇抑制	影響	りんご-日焼け果発生軽減
果実表面温度-上昇抑制	影響	りんご-日焼け果発生減少
果実-着色改善	影響	りんご-品質向上
段階的実施	目的	収入維持
