内水面-水温上昇	原因	気温-上昇
生息環境-悪化	原因	降水パターン-変化
魚類-生理状態変化	原因	環境水温-上昇
アユ-漁獲量減少	原因	水温-上昇
ワカサギ-へい死	原因	水温-上昇
渓流魚-生息空間縮小	予測影響	河川水温-上昇
ワカサギ-漁獲量減少	予測影響	高水温
アユ-遡上時期早まり	予測影響	海洋-水温上昇
アユ-遡上時期早まり	予測影響	河川-水温上昇
アユ-遡上数減少	予測影響	海洋-水温上昇
アユ-遡上数減少	予測影響	河川-水温上昇
気候変動-適応	対策法	河川等環境-保全管理
気候変動-適応	対策法	増殖・資源管理-継続
気候変動-適応	対策法	天然魚-保全
気候変動-適応	対策法	生息環境-維持改善
水温-上昇	原因	水量-減少
低水温-維持	対策法	水量-維持
水温上昇-抑制	対策法	河畔林-保全
隠れ家-機能維持	対策法	隠れ家-保全造成
隠れ家-喪失	原因	増水
隠れ家-喪失	原因	河川工事
産卵場-喪失	原因	増水
産卵場-喪失	原因	河川工事
産卵場-回復	対策法	人工産卵場-造成
放流-効果向上	対策法	半天然稚魚-放流
放流-効果向上	対策法	半野生稚魚-放流
半天然稚魚-放流効果増大	比較対象	継代養殖稚魚-放流効果
半野生稚魚-放流効果増大	比較対象	継代養殖稚魚-放流効果
半天然稚魚-生命力向上	原因	天然魚-近似
半野生稚魚-生命力向上	原因	天然魚-近似
半天然稚魚-生産	方法	天然魚雄-精液採取
半天然稚魚-生産	方法	養殖魚卵-交配ふ化
半野生稚魚-生産	方法	野生魚-精液利用
アユ-生存率向上	原因	早期放流
アユ-費用対効果向上	原因	早期放流
アユ-生存	原因	浮石-多い環境
資源-維持	対策法	放流方法-改善
資源-維持	対策法	漁獲規制方法-改善
漁獲規制-強化	原因	放流-増殖効果低下
稚魚・幼魚-保護	対策法	漁獲規制-強化
親魚-保護	対策法	漁獲規制-強化
疾病-被害拡大	予測影響	水温-上昇
疾病-防除	対策法	病原体防除技術-開発
疾病-発生	原因	高水温
ワカサギ-種苗生産技術開発	目的	給餌放流技術-確立
高水温耐性魚-作出	対策法	選抜育種
高水温耐性魚-放流	対策法	高水温耐性魚-作出
水量-減少	影響	水温-上昇
水量-維持	影響	低水温-維持
河畔林-保全	影響	水温上昇-抑制
隠れ家-保全造成	影響	隠れ家-機能維持
増水	影響	隠れ家-喪失
河川工事	影響	隠れ家-喪失
増水	影響	産卵場-喪失
河川工事	影響	産卵場-喪失
人工産卵場-造成	影響	産卵場-回復
早期放流	影響	アユ-生存率向上
早期放流	影響	アユ-費用対効果向上
浮石-多い環境	影響	アユ-生存
漁獲規制-強化	影響	稚魚・幼魚-保護
漁獲規制-強化	影響	親魚-保護
水温-上昇	予測影響	疾病-被害拡大
高水温	影響	疾病-発生
選抜育種	影響	高水温耐性魚-作出
高水温耐性魚-作出	影響	高水温耐性魚-放流
