強い台風-増加	原因	気候変動
人工林-風害発生	原因	開けた南東－南－南西向き斜面
人工林-風害発生	原因	暴風が来る方向に開いた谷
人工林-風害懸念	原因	地下水位が高い場所
人工林-風害懸念	原因	土壌深度が浅い場所
人工林-風害懸念	原因	風害を受けやすい斜面方位の非経済林
人工林-風害増加	予測影響	スギ・ヒノキ人工林の高齢化
人工林-風害増加	予測影響	適正本数にない林分
風害-森林被害面積	影響	7,508ha
風倒被害-対策	対策法	適期の間伐
風倒被害-対策	対策法	適切な植栽密度の維持
人工林-耐風性向上	対策法	形状比70-80以下
人工林-耐風性向上	対策法	樹冠長率50%以上
人工林-林内強風侵入防止	対策法	林縁木-枝打ち回避
人工林-耐風性向上	対策法	針広混交林化
人工林-耐風性向上	対策法	広葉樹林化
一斉人工林-針広混交林誘導	対策法	植栽木-強度抜き伐り
一斉人工林-広葉樹林誘導	対策法	広葉樹-定着
広葉樹-成長促進	対策法	植栽木-追加伐採
人工林-再造成	対策法	被害軽減-対策実施
人工林-再造成	対策法	適地適木-植栽
人工林-再造成	対策法	保護林（防風林）-設置
人工林地-復旧	対策法	広葉樹林化
森林-再生	対策法	天然更新
森林-再生	対策法	播種
森林-再生	対策法	植栽
公益的機能の発揮	対策法	広葉樹苗木-植栽
広葉樹苗木-植栽	対策法	地域性苗木-利用
小規模な被害箇所-再生	対策法	母樹由来の天然更新
森林施業-推進	対策法	森林計画-反映
災害後の復旧	対策法	森林保険-加入
気候変動	影響	強い台風-増加
開けた南東－南－南西向き斜面	発生しやすさ	人工林-風害発生
暴風が来る方向に開いた谷	発生しやすさ	人工林-風害発生
地下水位が高い場所	懸念	人工林-風害
土壌深度が浅い場所	懸念	人工林-風害
風害を受けやすい斜面方位の非経済林	懸念	人工林-風害
スギ・ヒノキ人工林の高齢化	影響	人工林-風害増加懸念
適正本数にない林分	影響	人工林-風害増加懸念
適期の間伐	影響	風倒被害-対策有効性
適切な植栽密度の維持	影響	風倒被害-対策有効性
形状比70-80以下	向上	耐風性
樹冠長率50%以上	影響	耐風性-向上
林縁木-枝打ち回避	影響	林内への強風吹き込み-防止
針広混交林化	影響	耐風性-向上
広葉樹林化	影響	耐風性-向上
植栽木-強度抜き伐り	位置づけ	針広混交林化・広葉樹林化-施業手順
広葉樹-定着	手段	天然更新または植栽
植栽木-追加伐採	目的	広葉樹-成長促進
適地適木-植栽	前提	施業継続可能性
保護林（防風林）-設置	材料	耐風性樹種
広葉樹林化	対象	経済性が見込めない場所
地域性苗木-利用	望ましさ	適地適木
森林保険-加入	影響	災害後の復旧-有用性
強い台風-増加	予測	気候変動の影響
耐風性	向上	形状比の低下
耐風性-向上	条件	樹冠長率の増大
林内への強風吹き込み-防止	有効性	林縁木の枝
天然更新または植栽	目的	広葉樹-定着
施業継続可能性	前提	間伐等の施業の継続
耐風性樹種	例示	シイ・カシ類
耐風性樹種	例示	クヌギ
経済性が見込めない場所	方針	全面的な広葉樹林化
適地適木	望ましさ	地域性苗木の使用
災害後の復旧-有用性	手段	森林保険への加入
