ニホンジカ-越冬地拡大	原因	気温上昇
ニホンジカ-越冬地拡大	原因	積雪量減少
ニホンジカ-生息適地増加	影響	国土47.9%への生息適地拡大
ニホンジカ-生息適地増加	予測影響	国土8割近い生息適地拡大
ニホンジカ-生息適地増加	原因	積雪量減少
ニホンジカ-生息適地増加	原因	耕作放棄地増加
被害顕在化前の備え	対策法	ノウハウ移転
被害軽減	対策法	ノウハウ移転
対策の効率化	対策法	ノウハウ移転
農地-侵入防止	対策法	侵入防止柵
侵入防止柵	対策法	柵高2m以上
侵入防止柵-効果向上	対策法	営農管理
侵入防止柵-効果向上	対策法	雑草刈り
森林域-苗木食害	対策法	忌避剤塗布
森林域-樹皮剥ぎ被害	対策法	テープ巻き
再造林地-保護	対策法	防護柵
シカ-捕獲	対策法	わな捕獲
シカ-捕獲	対策法	銃器捕獲
シカ-捕獲技術習得の負担	原因	習得に要する時間
新たな捕獲技術-開発	原因	伝統的捕獲技術の習得に要する時間
シカ-捕獲	対策法	箱わな
シカ-捕獲	対策法	囲いわな
シカ-捕獲	対策法	くくりわな
シカ-捕獲	対策法	巻き狩り
シカ-捕獲	対策法	誘因狙撃
シカ-捕獲	対策法	忍び捕獲
将来の被害軽減	対策法	対策ノウハウの事前移転
対策の効率化	対策法	対策ノウハウの事前移転
侵入初期・未被害地-ノウハウ獲得	対策法	人材育成
ノウハウ移転	対策法	鳥獣プロデータバンク活用
対策実施	対策法	認定鳥獣捕獲等事業者への依頼
気温上昇	原因	気候変動
積雪量減少	原因	気候変動
耕作放棄地増加	影響	休耕地・耕作放棄地の雑草増加
ノウハウ移転	影響	被害軽減
ノウハウ移転	影響	対策の効率化
侵入防止柵	目的	農地への侵入防止
柵高2m以上	目的	飛び越え防止
営農管理	影響	侵入防止柵の効果向上
雑草刈り	影響	侵入防止柵の効果向上
忌避剤塗布	目的	苗木の食害防止
テープ巻き	目的	樹皮剥ぎ被害防止
防護柵	利用場面	再造林地
わな捕獲	分類	箱わな
わな捕獲	分類	囲いわな
わな捕獲	分類	くくりわな
銃器捕獲	分類	巻き狩り
銃器捕獲	分類	誘因狙撃
銃器捕獲	分類	忍び捕獲
対策ノウハウの事前移転	影響	将来の被害軽減
対策ノウハウの事前移転	影響	対策の効率化
人材育成	手段	民間事業者による取組
人材育成	手段	民間資格による取組
鳥獣プロデータバンク活用	機能	技術者登録
鳥獣プロデータバンク活用	機能	登録者情報の紹介
認定鳥獣捕獲等事業者への依頼	目的	対策実施
気候変動	影響	気温上昇
気候変動	影響	積雪量減少
被害軽減	対策法	ノウハウ移転
対策の効率化	対策法	ノウハウ移転
農地への侵入防止	対策法	侵入防止柵
飛び越え防止	対策法	柵高2m以上
苗木の食害防止	対策法	忌避剤塗布
樹皮剥ぎ被害防止	対策法	テープ巻き
再造林地	対策法	防護柵
対策実施	対策法	認定鳥獣捕獲等事業者への依頼
