道路インフラ被害	原因	気候変動-短時間強雨増加
道路インフラ被害	原因	気候変動-強い台風増加
道路-土砂流入	原因	豪雨
道路-道路崩壊	原因	豪雨
道路-通行障害	原因	倒木
道路-通行障害	原因	流木
高速道路-盛土斜面崩壊	原因	豪雨
高速道路-切土斜面崩壊	原因	豪雨
道路-維持管理費用増加	予測影響	異常気象増加
道路-交通確保困難	原因	沿道-災害リスク
沿道-災害リスク	対策法	道路法面の固定
沿道-災害リスク	対策法	落石防止
沿道-災害リスク	対策法	樹木の伐採
沿道-災害リスク	対策法	排水施設の改良
道路ネットワーク-冗長性不足	対策法	災害時-代替路確保
災害時-交通確保困難	対策法	ネットワーク-冗長性確保
道路ネットワーク-代替性不足	対策法	災害時の代替性確保
道路ネットワーク-代替性不足	対策法	多様な主体が管理する道の活用
道路-交通確保困難	対策法	新たな道路横断面構造の設定
道路-劣化	対策法	新技術の導入
災害対応-遅延	対策法	統括的交通マネジメント
避難行動-円滑性低下	対策法	道路交通情報等の迅速な提供
気候変動-短時間強雨増加	影響	道路インフラ被害
気候変動-強い台風増加	影響	道路インフラ被害
豪雨	影響	道路-土砂流入
豪雨	影響	道路-道路崩壊
豪雨	影響	高速道路-盛土斜面崩壊
豪雨	影響	高速道路-切土斜面崩壊
倒木	影響	道路-通行障害
流木	影響	道路-通行障害
異常気象増加	影響	道路-維持管理費用増加
沿道-災害リスク	対策法	沿道リスク-低減
道路法面の固定	方法	法枠工
道路法面の固定	方法	法枠工とアンカー工の併用
落石防止	方法	落石防護柵工
落石防止	方法	ポケット式落石防止網工
落石防止	方法	ワイヤーロープ掛工
樹木の伐採	対象	斜面崩壊の恐れがある地上部樹木
排水施設の改良	理由	地盤-弱化
排水施設の改良	目的	法面-浸食防止
排水施設の改良	目的	法面-安定性低下防止
災害時の代替性確保	方法	別の道路-整備
災害時の代替性確保	方法	道路-上下別構造化
多様な主体が管理する道の活用	方法	道-一元的把握
多様な主体が管理する道の活用	方法	統合地図-作成
新たな道路横断面構造の設定	方法	路肩-拡幅
新技術の導入	内容	耐久性・耐水性の高い舗装-導入
統括的交通マネジメント	内容	平時-対応協議
統括的交通マネジメント	内容	応急・復旧-即応体制づくり
道路交通情報等の迅速な提供	手段	プローブ情報-活用
道路インフラ被害	影響	道路-通行障害
道路-土砂流入	影響	道路-通行障害
道路-道路崩壊	影響	道路-通行障害
高速道路-盛土斜面崩壊	影響	道路-通行障害
高速道路-切土斜面崩壊	影響	道路-通行障害
異常気象増加	原因	気候変動
気候変動	影響	気候変動-短時間強雨増加
気候変動	影響	気候変動-強い台風増加
気候変動	影響	気候変動-渇水増加
路肩-拡幅	目的	最低限の交通-確保
耐久性・耐水性の高い舗装-導入	影響	道路-健全性維持
プローブ情報-活用	影響	避難行動-円滑化
