住宅-被害増加	原因	強い台風-増加
電柱-被害増加	原因	強い台風-増加
倒木-被害増加	原因	強い台風-増加
強い台風-増加	原因	気候変動
被害-発生	原因	スーパーセル-発現頻度増加
スーパーセル-発現頻度増加	原因	気候変動
台風-最大強度の空間位置変化	原因	気候変動
台風-進行方向変化	原因	気候変動
強い熱帯低気圧-割合増加	予測影響	気候変動
地域別傾向-相違	予測影響	気候変動
猛烈な熱帯低気圧（台風）-存在頻度増加	予測影響	RCP8.5シナリオ
身の安全-確保	対策法	避難方法-確認
住宅-耐風対策推進	対策法	個人の備え
農業用施設-耐風対策推進	対策法	個人の備え
被害-早期把握	対策法	行政-迅速な回復
必要な支援-提供	対策法	行政-迅速な回復
強風への備え	対策法	最新予報-確認
防災情報-リアルタイム確認	対策法	スマートフォン向け防災アプリ-利用
竜巻リスク-確認	対策法	竜巻発生確度ナウキャスト-確認
空の様子変化-注意	対策法	竜巻注意情報-発表
台風-発生時準備	対策法	防災行動計画（タイムライン）-策定
命-保護	対策法	丈夫な建物-避難
命-保護	対策法	窓ガラス-回避
命-保護	対策法	机の下-退避
屋根-被害	原因	台風の強風
屋根-被害低減	対策法	建築基準法に基づく施工
瓦屋根-被害	原因	ガイドライン工法不適合
屋根-耐風性能向上	対策法	ガイドライン工法に基づく改修
屋根-耐風性能確保	対策法	ガイドライン工法-義務化
住宅-修理遅延	原因	工事依頼-集中
屋根-耐風性向上	対策法	耐風性の高い屋根材-更新
飛来物-飛び込み被害	対策法	シャッター・雨戸-閉鎖
窓ガラス-破砕被害	対策法	飛散防止フィルム-貼付
農業用施設-強風被害	対策法	低コスト耐候性ハウス-導入
農業用ハウス-耐候性向上	対策法	耐候性ハウス-建て替え支援
市民-被災後回復力向上	対策法	安全チェックリスト-普及
市民-被災後回復力向上	対策法	学校災害対応マニュアル-作成・普及
支援-適切な接続	対策法	被害地域-迅速把握
被害把握	対策法	ドローン-活用
被害把握	対策法	航空写真-活用
被害把握	対策法	衛星画像-活用
迅速な情報発信	対策法	防災科研クライシスレスポンスサイト-活用
強い台風-増加	影響	住宅-被害増加
強い台風-増加	影響	電柱-被害増加
強い台風-増加	影響	倒木-被害増加
スーパーセル-発現頻度増加	影響	被害-発生
台風の強風	影響	屋根-被害
工事依頼-集中	影響	住宅-修理遅延
ガイドライン工法不適合	影響	瓦屋根-被害
竜巻注意情報-発表	促進	竜巻発生確度ナウキャスト-確認
竜巻注意情報-発表	促進	空の様子変化-注意
住宅-被害増加	対策法	住宅-耐風対策推進
農業用施設-耐風対策推進	対象	住宅や農業用施設等
行政-迅速な回復	実施	必要な支援-提供
行政-迅速な回復	実施	被害-早期把握
台風の強風	対策法	屋根-被害低減
窓ガラス-破砕被害	対策法	飛散防止フィルム-貼付
