土砂災害-増加	原因	降雨条件-変化
大雨-発生頻度上昇	原因	降雨強度-増大
大雨-発生頻度上昇	原因	総降水量-増大
大規模土砂災害-発生	影響	深層崩壊-多数発生
大規模土砂災害-発生	影響	表層崩壊-同時多発型発生
大規模土砂災害-発生	影響	土石流-発生
大規模土砂災害-発生	影響	土砂・洪水氾濫-発生
山地・斜面周辺地域-社会生活影響	予測影響	崩壊・がけ崩れ・土石流-頻発
土砂・洪水氾濫-発生頻度増加	予測影響	土砂・洪水氾濫-発生頻度増加
深層崩壊等-大規模現象増加	予測影響	深層崩壊等-大規模現象増加
河川流入土砂量-増大	予測影響	治水・利水機能-低下
土砂災害-対処	対策法	ハード対策とソフト対策-一体推進
土砂災害-対処	対策法	土砂災害警戒区域-指定
土砂災害-対処	対策法	防災訓練-実施
土砂災害-対処	対策法	防災教育-実施
土砂災害-対処	対策法	防災情報-利活用
土砂災害-対処	対策法	特定開発行為-許可制
土砂災害-対処	対策法	建築物構造-規制
土砂災害-対処	対策法	安全地域-移転
地すべり-対処	対策法	抑制工-実施
地すべり-対処	対策法	抑止工-実施
地すべり-対処	対策法	復興事前準備-実施
地すべり-対処	対策法	模擬訓練-実施
土砂災害-対処	対策法	保険・共済加入-検討
降雨条件-変化	内容	大雨-発生頻度上昇
深層崩壊-多数発生	発生時期	近年
表層崩壊-同時多発型発生	発生時期	近年
土石流-発生	発生時期	近年
土砂・洪水氾濫-発生	発生時期	近年
崩壊・がけ崩れ・土石流-頻発	影響	山地・斜面周辺地域-社会生活影響
治水・利水機能-低下	原因	河川流入土砂量-増大
ハード対策とソフト対策-一体推進	必要性	正確な発生予測-困難
土砂災害警戒区域-指定	実施主体	市町村等
土砂災害警戒区域-指定	内容	警戒避難体制-整備
土砂災害警戒区域-指定	内容	ハザードマップ-配布
防災訓練-実施	重要性	実践的避難訓練-重要
防災情報-利活用	方法	プッシュ型通知サービス
防災情報-利活用	方法	重ねるハザードマップ
特定開発行為-許可制	目的	要配慮者利用施設-危険区域立地防止
建築物構造-規制	確認内容	建築物構造-安全性
安全地域-移転	対象	著しい損壊のおそれがある建築物-所有者等
抑制工-実施	内容	地下水-排除
抑制工-実施	内容	土砂-除去
抑止工-実施	内容	地すべり運動-停止
復興事前準備-実施	定義	復興体制・手順-事前準備
模擬訓練-実施	目的	復興まちづくり理解-深化
保険・共済加入-検討	効果	災害備え-手段
大雨-発生頻度上昇	関連	降雨条件-変化
近年	特徴	大規模土砂災害-各地発生
山地・斜面周辺地域-社会生活影響	発生時期	将来
正確な発生予測-困難	原因	土砂災害-誘因素因連関
市町村等	実施	ハザードマップ-配布
市町村等	実施	警戒避難体制-整備
実践的避難訓練-重要	理由	土砂災害-局所発生
プッシュ型通知サービス	目的	避難判断-支援
プッシュ型通知サービス	目的	家族への避難行動呼びかけ
重ねるハザードマップ	効果	複数リスク-一括調査
要配慮者利用施設-危険区域立地防止	対象区域	土砂災害特別警戒区域
建築物構造-安全性	確認	建築確認-実施
地下水-排除	位置づけ	抑制工
土砂-除去	位置づけ	抑制工
地すべり運動-停止	実現手段	構造物抵抗力-利用
復興体制・手順-事前準備	同義	復興事前準備
災害備え-手段	具体例	保険・共済加入
